,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
826038,2015,2,24,2,UA,1256,N75426,LAX,SFO,1002,0959,-3,12.0,1011.0,101,85.0,59.0,337,1110.0,14.0,1143,1124,-19,0,0,,,,,,
826186,2015,2,24,2,WN,553,N340LV,SFO,LAX,1010,1010,0,16.0,1026.0,80,83.0,52.0,337,1118.0,15.0,1130,1133,3,0,0,,,,,,
826471,2015,2,24,2,AA,2378,N3LBAA,LAX,SFO,1030,1037,7,30.0,1107.0,83,92.0,58.0,337,1205.0,4.0,1153,1209,16,0,0,,9.0,0.0,7.0,0.0,0.0
826670,2015,2,24,2,UA,1636,N76514,SFO,LAX,1041,1037,-4,13.0,1050.0,94,95.0,54.0,337,1144.0,28.0,1215,1212,-3,0,0,,,,,,
826928,2015,2,24,2,UA,239,N821UA,LAX,SFO,1058,1059,1,13.0,1112.0,92,76.0,59.0,337,1211.0,4.0,1230,1215,-15,0,0,,,,,,
827077,2015,2,24,2,WN,3944,N685SW,LAX,SFO,1105,1105,0,13.0,1118.0,85,77.0,60.0,337,1218.0,4.0,1230,1222,-8,0,0,,,,,,
827142,2015,2,24,2,VX,330,N632VA,SFO,LAX,1110,1106,-4,13.0,1119.0,80,75.0,54.0,337,1213.0,8.0,1230,1221,-9,0,0,,,,,,
827401,2015,2,24,2,VX,927,N627VA,LAX,SFO,1125,1122,-3,7.0,1129.0,80,66.0,54.0,337,1223.0,5.0,1245,1228,-17,0,0,,,,,,
827822,2015,2,24,2,WN,2241,N345SA,SFO,LAX,1150,1147,-3,11.0,1158.0,90,68.0,52.0,337,1250.0,5.0,1320,1255,-25,0,0,,,,,,
827986,2015,2,24,2,WN,3056,N340LV,LAX,SFO,1200,1158,-2,14.0,1212.0,85,79.0,58.0,337,1310.0,7.0,1325,1317,-8,0,0,,,,,,
828277,2015,2,24,2,AA,1150,N3GNAA,LAX,SFO,1220,1214,-6,14.0,1228.0,82,71.0,54.0,337,1322.0,3.0,1342,1325,-17,0,0,,,,,,
828320,2015,2,24,2,UA,411,N471UA,SFO,LAX,1220,1211,-9,30.0,1241.0,92,94.0,50.0,337,1331.0,14.0,1352,1345,-7,0,0,,,,,,
828797,2015,2,24,2,AA,2378,N3LBAA,SFO,LAX,1255,1246,-9,20.0,1306.0,87,86.0,52.0,337,1358.0,14.0,1422,1412,-10,0,0,,,,,,
828834,2015,2,24,2,UA,1188,N78506,LAX,SFO,1255,1255,0,21.0,1316.0,90,86.0,58.0,337,1414.0,7.0,1425,1421,-4,0,0,,,,,,
828938,2015,2,24,2,WN,879,N685SW,SFO,LAX,1300,1254,-6,17.0,1311.0,85,77.0,52.0,337,1403.0,8.0,1425,1411,-14,0,0,,,,,,
829327,2015,2,24,2,UA,698,N821UA,SFO,LAX,1322,1316,-6,15.0,1331.0,92,77.0,52.0,337,1423.0,10.0,1454,1433,-21,0,0,,,,,,
829356,2015,2,24,2,VX,928,N621VA,SFO,LAX,1325,1322,-3,15.0,1337.0,80,71.0,50.0,337,1427.0,6.0,1445,1433,-12,0,0,,,,,,
829431,2015,2,24,2,VX,929,N845VA,LAX,SFO,1330,1326,-4,9.0,1335.0,75,71.0,57.0,337,1432.0,5.0,1445,1437,-8,0,0,,,,,,
829775,2015,2,24,2,WN,978,N345SA,LAX,SFO,1350,1348,-2,8.0,1356.0,80,71.0,56.0,337,1452.0,7.0,1510,1459,-11,0,0,,,,,,
830351,2015,2,24,2,UA,404,N813UA,SFO,LAX,1426,1415,-11,18.0,1433.0,87,79.0,51.0,337,1524.0,10.0,1553,1534,-19,0,0,,,,,,
830601,2015,2,24,2,AA,1150,N3GNAA,SFO,LAX,1442,1437,-5,16.0,1453.0,82,76.0,51.0,337,1544.0,9.0,1604,1553,-11,0,0,,,,,,
830818,2015,2,24,2,WN,4122,N685SW,LAX,SFO,1455,1452,-3,7.0,1459.0,75,66.0,55.0,337,1554.0,4.0,1610,1558,-12,0,0,,,,,,
830964,2015,2,24,2,UA,1743,N78509,LAX,SFO,1502,1510,8,12.0,1522.0,88,75.0,58.0,337,1620.0,5.0,1630,1625,-5,0,0,,,,,,
831189,2015,2,24,2,UA,207,N420UA,SFO,LAX,1517,1512,-5,11.0,1523.0,88,90.0,52.0,337,1615.0,27.0,1645,1642,-3,0,0,,,,,,
831384,2015,2,24,2,VX,932,N845VA,SFO,LAX,1530,1525,-5,10.0,1535.0,80,71.0,51.0,337,1626.0,10.0,1650,1636,-14,0,0,,,,,,
831385,2015,2,24,2,VX,933,N621VA,LAX,SFO,1530,1525,-5,10.0,1535.0,75,72.0,58.0,337,1633.0,4.0,1645,1637,-8,0,0,,,,,,
831570,2015,2,24,2,WN,2419,N345SA,SFO,LAX,1540,1537,-3,13.0,1550.0,75,70.0,50.0,337,1640.0,7.0,1655,1647,-8,0,0,,,,,,
832045,2015,2,24,2,VX,936,N851VA,SFO,LAX,1610,1602,-8,9.0,1611.0,80,68.0,51.0,337,1702.0,8.0,1730,1710,-20,0,0,,,,,,
832190,2015,2,24,2,AA,209,N3LUAA,LAX,SFO,1620,1615,-5,25.0,1640.0,80,82.0,54.0,337,1734.0,3.0,1740,1737,-3,0,0,,,,,,
832413,2015,2,24,2,UA,1571,N53442,LAX,SFO,1630,1634,4,11.0,1645.0,89,69.0,53.0,337,1738.0,5.0,1759,1743,-16,0,0,,,,,,
832457,2015,2,24,2,VX,923,N529VA,LAX,SFO,1635,1635,0,15.0,1650.0,75,79.0,59.0,337,1749.0,5.0,1750,1754,4,0,0,,,,,,
832484,2015,2,24,2,UA,769,N846UA,SFO,LAX,1635,1633,-2,15.0,1648.0,88,82.0,57.0,337,1745.0,10.0,1803,1755,-8,0,0,,,,,,
832622,2015,2,24,2,WN,4211,N685SW,SFO,LAX,1645,1644,-1,7.0,1651.0,80,71.0,56.0,337,1747.0,8.0,1805,1755,-10,0,0,,,,,,
833215,2015,2,24,2,VX,945,N633VA,LAX,SFO,1720,1709,-11,8.0,1717.0,75,69.0,59.0,337,1816.0,2.0,1835,1818,-17,0,0,,,,,,
833417,2015,2,24,2,VX,938,N847VA,SFO,LAX,1730,1727,-3,10.0,1737.0,75,69.0,53.0,337,1830.0,6.0,1845,1836,-9,0,0,,,,,,
833432,2015,2,24,2,WN,2508,N345SA,LAX,SFO,1730,1730,0,6.0,1736.0,75,68.0,57.0,337,1833.0,5.0,1845,1838,-7,0,0,,,,,,
833896,2015,2,24,2,UA,1476,N24224,SFO,LAX,1755,1752,-3,25.0,1817.0,90,98.0,54.0,337,1911.0,19.0,1925,1930,5,0,0,,,,,,
834216,2015,2,24,2,WN,3323,N340LV,SFO,LAX,1815,1854,39,15.0,1909.0,95,75.0,53.0,337,2002.0,7.0,1950,2009,19,0,0,,0.0,0.0,0.0,19.0,0.0
834337,2015,2,24,2,VX,941,N851VA,LAX,SFO,1825,1824,-1,7.0,1831.0,80,72.0,59.0,337,1930.0,6.0,1945,1936,-9,0,0,,,,,,
834390,2015,2,24,2,AA,209,N3LUAA,SFO,LAX,1830,1825,-5,14.0,1839.0,86,81.0,53.0,337,1932.0,14.0,1956,1946,-10,0,0,,,,,,
834463,2015,2,24,2,AA,219,N3BVAA,LAX,SFO,1835,1834,-1,27.0,1901.0,82,86.0,56.0,337,1957.0,3.0,1957,2000,3,0,0,,,,,,
834505,2015,2,24,2,UA,391,N833UA,LAX,SFO,1836,1909,33,17.0,1926.0,83,73.0,52.0,337,2018.0,4.0,1959,2022,23,0,0,,0.0,0.0,23.0,0.0,0.0
834604,2015,2,24,2,VX,942,N529VA,SFO,LAX,1845,1841,-4,11.0,1852.0,80,68.0,52.0,337,1944.0,5.0,2005,1949,-16,0,0,,,,,,
834700,2015,2,24,2,WN,4300,N352SW,LAX,SFO,1850,1853,3,6.0,1859.0,75,67.0,55.0,337,1954.0,6.0,2005,2000,-5,0,0,,,,,,
835084,2015,2,24,2,UA,1251,N53442,SFO,LAX,1910,1910,0,19.0,1929.0,86,87.0,54.0,337,2023.0,14.0,2036,2037,1,0,0,,,,,,
835224,2015,2,24,2,UA,251,N420UA,LAX,SFO,1920,1914,-6,16.0,1930.0,85,75.0,55.0,337,2025.0,4.0,2045,2029,-16,0,0,,,,,,
835987,2015,2,24,2,UA,1254,N87507,LAX,SFO,2010,2007,-3,11.0,2018.0,85,73.0,57.0,337,2115.0,5.0,2135,2120,-15,0,0,,,,,,
836106,2015,2,24,2,WN,3412,N340LV,LAX,SFO,2025,2040,15,7.0,2047.0,80,89.0,55.0,337,2142.0,27.0,2145,2209,24,0,0,,9.0,0.0,0.0,15.0,0.0
836180,2015,2,24,2,WN,4389,N352SW,SFO,LAX,2035,2031,-4,6.0,2037.0,80,69.0,53.0,337,2130.0,10.0,2155,2140,-15,0,0,,,,,,
836257,2015,2,24,2,AA,2465,N3GLAA,LAX,SFO,2045,2040,-5,16.0,2056.0,82,75.0,55.0,337,2151.0,4.0,2207,2155,-12,0,0,,,,,,
836303,2015,2,24,2,AA,219,N3JNAA,SFO,LAX,2047,2038,-9,11.0,2049.0,92,82.0,51.0,337,2140.0,20.0,2219,2200,-19,0,0,,,,,,
836322,2015,2,24,2,VX,948,N525VA,SFO,LAX,2050,2127,37,13.0,2140.0,80,74.0,52.0,337,2232.0,9.0,2210,2241,31,0,0,,0.0,0.0,31.0,0.0,0.0
836458,2015,2,24,2,VX,241,N622VA,LAX,SFO,2100,2059,-1,8.0,2107.0,80,66.0,51.0,337,2158.0,7.0,2220,2205,-15,0,0,,,,,,
836480,2015,2,24,2,UA,1676,N75429,SFO,LAX,2100,2100,0,11.0,2111.0,90,80.0,56.0,337,2207.0,13.0,2230,2220,-10,0,0,,,,,,
837056,2015,2,24,2,UA,1278,N76254,SFO,LAX,2230,2221,-9,14.0,2235.0,82,75.0,49.0,337,2324.0,12.0,2352,2336,-16,0,0,,,,,,
837058,2015,2,24,2,UA,263,N478UA,LAX,SFO,2232,2224,-8,10.0,2234.0,79,73.0,52.0,337,2326.0,11.0,2351,2337,-14,0,0,,,,,,
837410,2015,2,25,3,WN,1974,N352SW,LAX,SFO,0545,0543,-2,15.0,558.0,85,78.0,58.0,337,656.0,5.0,0710,0701,-9,0,0,,,,,,
837820,2015,2,25,3,UA,537,N833UA,SFO,LAX,0600,0555,-5,17.0,612.0,92,73.0,51.0,337,703.0,5.0,0732,0708,-24,0,0,,,,,,
837847,2015,2,25,3,UA,1761,N68834,LAX,SFO,0600,0559,-1,16.0,615.0,86,82.0,55.0,337,710.0,11.0,0726,0721,-5,0,0,,,,,,
837900,2015,2,25,3,WN,2077,N340LV,SFO,LAX,0605,0558,-7,12.0,610.0,80,70.0,52.0,337,702.0,6.0,0725,0708,-17,0,0,,,,,,
838307,2015,2,25,3,VX,922,N622VA,SFO,LAX,0630,0634,4,10.0,644.0,75,72.0,53.0,337,737.0,9.0,0745,0746,1,0,0,,,,,,
838498,2015,2,25,3,AA,338,N3KWAA,LAX,SFO,0645,0640,-5,21.0,701.0,83,79.0,56.0,337,757.0,2.0,0808,0759,-9,0,0,,,,,,
838567,2015,2,25,3,UA,805,N852UA,LAX,SFO,0645,0638,-7,18.0,656.0,85,81.0,54.0,337,750.0,9.0,0810,0759,-11,0,0,,,,,,
838822,2015,2,25,3,VX,925,N529VA,LAX,SFO,0700,0658,-2,9.0,707.0,80,68.0,56.0,337,803.0,3.0,0820,0806,-14,0,0,,,,,,
838956,2015,2,25,3,AA,1250,N3EYAA,SFO,LAX,0705,0656,-9,16.0,712.0,89,78.0,55.0,337,807.0,7.0,0834,0814,-20,0,0,,,,,,
839441,2015,2,25,3,UA,478,N809UA,SFO,LAX,0730,0728,-2,19.0,747.0,92,81.0,51.0,337,838.0,11.0,0902,0849,-13,0,0,,,,,,
839513,2015,2,25,3,UA,1743,N73283,LAX,SFO,0737,0734,-3,15.0,749.0,92,79.0,55.0,337,844.0,9.0,0909,0853,-16,0,0,,,,,,
839654,2015,2,25,3,WN,2063,N352SW,SFO,LAX,0750,0746,-4,6.0,752.0,85,66.0,52.0,337,844.0,8.0,0915,0852,-23,0,0,,,,,,
839714,2015,2,25,3,WN,937,N340LV,LAX,SFO,0755,0753,-2,10.0,803.0,85,72.0,56.0,337,859.0,6.0,0920,0905,-15,0,0,,,,,,
839959,2015,2,25,3,VX,334,N640VA,SFO,LAX,0805,0803,-2,14.0,817.0,80,80.0,53.0,337,910.0,13.0,0925,0923,-2,0,0,,,,,,
840428,2015,2,25,3,UA,479,N853UA,SFO,LAX,0830,0830,0,15.0,845.0,93,78.0,53.0,337,938.0,10.0,1003,0948,-15,0,0,,,,,,
840531,2015,2,25,3,UA,821,N833UA,LAX,SFO,0837,0829,-8,22.0,851.0,98,88.0,60.0,337,951.0,6.0,1015,0957,-18,0,0,,,,,,
840875,2015,2,25,3,AA,338,N3KWAA,SFO,LAX,0900,0850,-10,14.0,904.0,87,75.0,51.0,337,955.0,10.0,1027,1005,-22,0,0,,,,,,
840927,2015,2,25,3,WN,881,N616SW,SFO,LAX,0900,0856,-4,14.0,910.0,90,72.0,53.0,337,1003.0,5.0,1030,1008,-22,0,0,,,,,,
841097,2015,2,25,3,VX,935,N847VA,LAX,SFO,0910,0908,-2,10.0,918.0,80,71.0,56.0,337,1014.0,5.0,1030,1019,-11,0,0,,,,,,
841658,2015,2,25,3,UA,1482,N33209,SFO,LAX,0949,0951,2,11.0,1002.0,91,85.0,51.0,337,1053.0,23.0,1120,1116,-4,0,0,,,,,,
841695,2015,2,25,3,WN,2152,N685SW,LAX,SFO,0950,0947,-3,12.0,959.0,90,72.0,56.0,337,1055.0,4.0,1120,1059,-21,0,0,,,,,,
841965,2015,2,25,3,UA,1256,N38473,LAX,SFO,1002,1017,15,17.0,1034.0,101,83.0,57.0,337,1131.0,9.0,1143,1140,-3,0,0,,,,,,
842087,2015,2,25,3,WN,553,N355SW,SFO,LAX,1010,1008,-2,9.0,1017.0,80,67.0,52.0,337,1109.0,6.0,1130,1115,-15,0,0,,,,,,
842410,2015,2,25,3,AA,2378,N3JCAA,LAX,SFO,1030,1024,-6,13.0,1037.0,83,74.0,60.0,337,1137.0,1.0,1153,1138,-15,0,0,,,,,,
842627,2015,2,25,3,UA,1121,N78511,SFO,LAX,1044,1037,-7,10.0,1047.0,94,82.0,51.0,337,1138.0,21.0,1218,1159,-19,0,0,,,,,,
842877,2015,2,25,3,UA,318,N853UA,LAX,SFO,1058,1047,-11,16.0,1103.0,92,74.0,55.0,337,1158.0,3.0,1230,1201,-29,0,0,,,,,,
843026,2015,2,25,3,WN,3944,N616SW,LAX,SFO,1105,1101,-4,10.0,1111.0,85,73.0,56.0,337,1207.0,7.0,1230,1214,-16,0,0,,,,,,
843093,2015,2,25,3,VX,330,N627VA,SFO,LAX,1110,1103,-7,13.0,1116.0,80,71.0,53.0,337,1209.0,5.0,1230,1214,-16,0,0,,,,,,
843352,2015,2,25,3,VX,927,N849VA,LAX,SFO,1125,1120,-5,7.0,1127.0,80,71.0,56.0,337,1223.0,8.0,1245,1231,-14,0,0,,,,,,
843782,2015,2,25,3,WN,2241,N685SW,SFO,LAX,1150,1149,-1,13.0,1202.0,90,74.0,53.0,337,1255.0,8.0,1320,1303,-17,0,0,,,,,,
843970,2015,2,25,3,WN,3056,N355SW,LAX,SFO,1200,1152,-8,19.0,1211.0,85,76.0,53.0,337,1304.0,4.0,1325,1308,-17,0,0,,,,,,
844261,2015,2,25,3,AA,1150,N3EDAA,LAX,SFO,1220,1313,53,15.0,1328.0,82,72.0,54.0,337,1422.0,3.0,1342,1425,43,0,0,,0.0,0.0,43.0,0.0,0.0
844303,2015,2,25,3,UA,411,N488UA,SFO,LAX,1220,1218,-2,10.0,1228.0,92,76.0,55.0,337,1323.0,11.0,1352,1334,-18,0,0,,,,,,
844791,2015,2,25,3,AA,2378,N3JCAA,SFO,LAX,1255,1250,-5,15.0,1305.0,87,82.0,58.0,337,1403.0,9.0,1422,1412,-10,0,0,,,,,,
844830,2015,2,25,3,UA,731,N411UA,LAX,SFO,1255,1250,-5,13.0,1303.0,89,84.0,56.0,337,1359.0,15.0,1424,1414,-10,0,0,,,,,,
844926,2015,2,25,3,WN,879,N616SW,SFO,LAX,1300,1256,-4,12.0,1308.0,85,82.0,59.0,337,1407.0,11.0,1425,1418,-7,0,0,,,,,,
845321,2015,2,25,3,UA,717,N853UA,SFO,LAX,1322,1317,-5,13.0,1330.0,92,75.0,54.0,337,1424.0,8.0,1454,1432,-22,0,0,,,,,,
845427,2015,2,25,3,VX,928,N849VA,SFO,LAX,1330,1328,-2,20.0,1348.0,75,82.0,54.0,337,1442.0,8.0,1445,1450,5,0,0,,,,,,
845428,2015,2,25,3,VX,929,N628VA,LAX,SFO,1330,1325,-5,11.0,1336.0,75,70.0,56.0,337,1432.0,3.0,1445,1435,-10,0,0,,,,,,
845777,2015,2,25,3,WN,978,N685SW,LAX,SFO,1350,1348,-2,12.0,1400.0,80,72.0,55.0,337,1455.0,5.0,1510,1500,-10,0,0,,,,,,
846359,2015,2,25,3,UA,1004,N76523,SFO,LAX,1426,1446,20,14.0,1500.0,88,78.0,50.0,337,1550.0,14.0,1554,1604,10,0,0,,,,,,
846607,2015,2,25,3,AA,1150,N3EDAA,SFO,LAX,1442,1505,23,17.0,1522.0,82,83.0,53.0,337,1615.0,13.0,1604,1628,24,0,0,,1.0,0.0,0.0,23.0,0.0
846823,2015,2,25,3,WN,4122,N616SW,LAX,SFO,1455,1454,-1,9.0,1503.0,75,70.0,57.0,337,1600.0,4.0,1610,1604,-6,0,0,,,,,,
846972,2015,2,25,3,UA,1169,N26208,LAX,SFO,1502,1513,11,12.0,1525.0,88,75.0,59.0,337,1624.0,4.0,1630,1628,-2,0,0,,,,,,
847201,2015,2,25,3,UA,207,N417UA,SFO,LAX,1517,1509,-8,16.0,1525.0,88,84.0,52.0,337,1617.0,16.0,1645,1633,-12,0,0,,,,,,
847404,2015,2,25,3,VX,932,N842VA,SFO,LAX,1530,1522,-8,18.0,1540.0,80,76.0,53.0,337,1633.0,5.0,1650,1638,-12,0,0,,,,,,
847405,2015,2,25,3,VX,933,N849VA,LAX,SFO,1530,1537,7,7.0,1544.0,75,71.0,58.0,337,1642.0,6.0,1645,1648,3,0,0,,,,,,
847587,2015,2,25,3,WN,2419,N685SW,SFO,LAX,1540,1538,-2,6.0,1544.0,75,64.0,51.0,337,1635.0,7.0,1655,1642,-13,0,0,,,,,,
848074,2015,2,25,3,VX,936,N852VA,SFO,LAX,1610,1608,-2,11.0,1619.0,80,65.0,50.0,337,1709.0,4.0,1730,1713,-17,0,0,,,,,,
848220,2015,2,25,3,AA,209,N3FFAA,LAX,SFO,1620,1657,37,21.0,1718.0,80,81.0,57.0,337,1815.0,3.0,1740,1818,38,0,0,,1.0,0.0,0.0,37.0,0.0
848375,2015,2,25,3,UA,769,N855UA,SFO,LAX,1629,1627,-2,13.0,1640.0,88,76.0,51.0,337,1731.0,12.0,1757,1743,-14,0,0,,,,,,
848440,2015,2,25,3,UA,1571,N38467,LAX,SFO,1630,1638,8,16.0,1654.0,89,80.0,60.0,337,1754.0,4.0,1759,1758,-1,0,0,,,,,,
848488,2015,2,25,3,VX,923,N528VA,LAX,SFO,1635,1628,-7,14.0,1642.0,75,74.0,56.0,337,1738.0,4.0,1750,1742,-8,0,0,,,,,,
848645,2015,2,25,3,WN,4211,N616SW,SFO,LAX,1645,1646,1,8.0,1654.0,80,66.0,54.0,337,1748.0,4.0,1805,1752,-13,0,0,,,,,,
849255,2015,2,25,3,VX,945,N632VA,LAX,SFO,1720,1718,-2,14.0,1732.0,75,80.0,61.0,337,1833.0,5.0,1835,1838,3,0,0,,,,,,
849459,2015,2,25,3,VX,938,N529VA,SFO,LAX,1730,1807,37,13.0,1820.0,75,71.0,52.0,337,1912.0,6.0,1845,1918,33,0,0,,0.0,0.0,0.0,33.0,0.0
849471,2015,2,25,3,WN,2508,N685SW,LAX,SFO,1730,1729,-1,8.0,1737.0,75,71.0,58.0,337,1835.0,5.0,1845,1840,-5,0,0,,,,,,
849953,2015,2,25,3,UA,1476,N73299,SFO,LAX,1755,1803,8,19.0,1822.0,90,86.0,51.0,337,1913.0,16.0,1925,1929,4,0,0,,,,,,
850267,2015,2,25,3,WN,3323,N355SW,SFO,LAX,1815,1812,-3,13.0,1825.0,95,75.0,55.0,337,1920.0,7.0,1950,1927,-23,0,0,,,,,,
850395,2015,2,25,3,VX,941,N852VA,LAX,SFO,1825,1819,-6,10.0,1829.0,80,71.0,56.0,337,1925.0,5.0,1945,1930,-15,0,0,,,,,,
850453,2015,2,25,3,AA,209,N3FFAA,SFO,LAX,1830,1905,35,17.0,1922.0,86,80.0,54.0,337,2016.0,9.0,1956,2025,29,0,0,,0.0,0.0,2.0,27.0,0.0
850526,2015,2,25,3,AA,219,N3LEAA,LAX,SFO,1835,1831,-4,15.0,1846.0,82,76.0,58.0,337,1944.0,3.0,1957,1947,-10,0,0,,,,,,
850618,2015,2,25,3,UA,391,N855UA,LAX,SFO,1842,1839,-3,13.0,1852.0,83,74.0,58.0,337,1950.0,3.0,2005,1953,-12,0,0,,,,,,
850664,2015,2,25,3,VX,942,N528VA,SFO,LAX,1845,1841,-4,13.0,1854.0,80,72.0,53.0,337,1947.0,6.0,2005,1953,-12,0,0,,,,,,
851155,2015,2,25,3,UA,1297,N38467,SFO,LAX,1910,1910,0,19.0,1929.0,86,80.0,51.0,337,2020.0,10.0,2036,2030,-6,0,0,,,,,,
851246,2015,2,25,3,UA,1254,N27239,LAX,SFO,1919,1919,0,19.0,1938.0,86,81.0,58.0,337,2036.0,4.0,2045,2040,-5,0,0,,,,,,
852206,2015,2,25,3,WN,3412,N355SW,LAX,SFO,2025,2022,-3,6.0,2028.0,80,70.0,58.0,337,2126.0,6.0,2145,2132,-13,0,0,,,,,,
852364,2015,2,25,3,AA,2465,N3GCAA,LAX,SFO,2045,2042,-3,18.0,2100.0,82,76.0,53.0,337,2153.0,5.0,2207,2158,-9,0,0,,,,,,
852412,2015,2,25,3,AA,219,N3EEAA,SFO,LAX,2047,2037,-10,13.0,2050.0,92,72.0,51.0,337,2141.0,8.0,2219,2149,-30,0,0,,,,,,
852435,2015,2,25,3,VX,948,N631VA,SFO,LAX,2050,2048,-2,7.0,2055.0,80,69.0,50.0,337,2145.0,12.0,2210,2157,-13,0,0,,,,,,
852591,2015,2,25,3,UA,1676,N38257,SFO,LAX,2100,2055,-5,11.0,2106.0,90,89.0,51.0,337,2157.0,27.0,2230,2224,-6,0,0,,,,,,
852784,2015,2,25,3,VX,947,N626VA,LAX,SFO,2125,2149,24,11.0,2200.0,80,74.0,57.0,337,2257.0,6.0,2245,2303,18,0,0,,0.0,0.0,18.0,0.0,0.0
853198,2015,2,25,3,UA,356,N845UA,SFO,LAX,2230,2228,-2,12.0,2240.0,81,72.0,50.0,337,2330.0,10.0,2351,2340,-11,0,0,,,,,,
853203,2015,2,25,3,UA,470,N417UA,LAX,SFO,2232,2225,-7,11.0,2236.0,79,69.0,55.0,337,2331.0,3.0,2351,2334,-17,0,0,,,,,,
853578,2015,2,26,4,WN,1974,N601WN,LAX,SFO,0545,0543,-2,13.0,556.0,85,76.0,60.0,337,656.0,3.0,0710,0659,-11,0,0,,,,,,
853996,2015,2,26,4,UA,464,N804UA,LAX,SFO,0600,0552,-8,11.0,603.0,85,81.0,62.0,337,705.0,8.0,0725,0713,-12,0,0,,,,,,
854005,2015,2,26,4,UA,641,N830UA,SFO,LAX,0600,0551,-9,10.0,601.0,92,85.0,51.0,337,652.0,24.0,0732,0716,-16,0,0,,,,,,
854106,2015,2,26,4,WN,2077,N340LV,SFO,LAX,0605,0558,-7,10.0,608.0,80,68.0,50.0,337,658.0,8.0,0725,0706,-19,0,0,,,,,,
854681,2015,2,26,4,AA,338,N3JWAA,LAX,SFO,0645,0637,-8,17.0,654.0,83,82.0,61.0,337,755.0,4.0,0808,0759,-9,0,0,,,,,,
854711,2015,2,26,4,VX,922,N639VA,SFO,LAX,0645,0643,-2,12.0,655.0,75,67.0,49.0,337,744.0,6.0,0800,0750,-10,0,0,,,,,,
854753,2015,2,26,4,UA,805,N845UA,LAX,SFO,0645,0640,-5,12.0,652.0,85,77.0,60.0,337,752.0,5.0,0810,0757,-13,0,0,,,,,,
855017,2015,2,26,4,VX,925,N525VA,LAX,SFO,0700,0653,-7,10.0,703.0,80,78.0,60.0,337,803.0,8.0,0820,0811,-9,0,0,,,,,,
855152,2015,2,26,4,AA,1250,N3CHAA,SFO,LAX,0705,0701,-4,16.0,717.0,89,85.0,52.0,337,809.0,17.0,0834,0826,-8,0,0,,,,,,
855631,2015,2,26,4,UA,478,N457UA,SFO,LAX,0730,0724,-6,12.0,736.0,92,99.0,53.0,337,829.0,34.0,0902,0903,1,0,0,,,,,,
855705,2015,2,26,4,UA,1203,N76516,LAX,SFO,0737,0733,-4,18.0,751.0,92,85.0,60.0,337,851.0,7.0,0909,0858,-11,0,0,,,,,,
855860,2015,2,26,4,WN,2063,N601WN,SFO,LAX,0750,0747,-3,8.0,755.0,85,73.0,52.0,337,847.0,13.0,0915,0900,-15,0,0,,,,,,
855906,2015,2,26,4,WN,937,N340LV,LAX,SFO,0755,0750,-5,9.0,759.0,85,72.0,59.0,337,858.0,4.0,0920,0902,-18,0,0,,,,,,
856162,2015,2,26,4,VX,334,N847VA,SFO,LAX,0805,0803,-2,20.0,823.0,80,82.0,54.0,337,917.0,8.0,0925,0925,0,0,0,,,,,,
856638,2015,2,26,4,UA,479,N855UA,SFO,LAX,0830,0823,-7,13.0,836.0,93,92.0,47.0,337,923.0,32.0,1003,0955,-8,0,0,,,,,,
856743,2015,2,26,4,UA,458,N848UA,LAX,SFO,0837,0830,-7,15.0,845.0,98,86.0,62.0,337,947.0,9.0,1015,0956,-19,0,0,,,,,,
857084,2015,2,26,4,AA,338,N3JWAA,SFO,LAX,0900,0856,-4,26.0,922.0,87,101.0,55.0,337,1017.0,20.0,1027,1037,10,0,0,,,,,,
857158,2015,2,26,4,WN,881,N784SW,SFO,LAX,0900,0855,-5,9.0,904.0,90,63.0,47.0,337,951.0,7.0,1030,0958,-32,0,0,,,,,,
857310,2015,2,26,4,VX,935,N639VA,LAX,SFO,0910,0912,2,8.0,920.0,80,75.0,61.0,337,1021.0,6.0,1030,1027,-3,0,0,,,,,,
857887,2015,2,26,4,UA,1573,N37290,SFO,LAX,0949,0946,-3,14.0,1000.0,91,94.0,53.0,337,1053.0,27.0,1120,1120,0,0,0,,,,,,
857917,2015,2,26,4,WN,2152,N601WN,LAX,SFO,0950,0945,-5,5.0,950.0,90,84.0,67.0,337,1057.0,12.0,1120,1109,-11,0,0,,,,,,
858201,2015,2,26,4,UA,1188,N76528,LAX,SFO,1002,0957,-5,10.0,1007.0,101,98.0,60.0,337,1107.0,28.0,1143,1135,-8,0,0,,,,,,
858341,2015,2,26,4,WN,553,N355SW,SFO,LAX,1010,1005,-5,17.0,1022.0,80,74.0,51.0,337,1113.0,6.0,1130,1119,-11,0,0,,,,,,
